customer_id,first_name,last_name,date_of_birth,gender,city,state,customer_since,risk_category
CUST00001,Navya,Bhalla,1957-05-08,Male,Ahmedabad,Gujarat,2024-12-15,Low
CUST00002,Raghav,Das,1970-11-02,Male,Kochi,Kerala,2019-11-02,High
CUST00003,Sara,Behl,2001-09-12,Female,Nagpur,Maharashtra,2024-12-13,Medium
CUST00004,Inaaya ,Bassi,1995-10-31,Female,Nagpur,Maharashtra,2022-03-28,Low
CUST00005,Arhaan,Aurora,1962-01-09,Male,Hubballi,Karnataka,2020-07-05,Low
CUST00006,Mehul,Krishnan,1996-08-13,Female,Warangal,Telangana,2018-11-16,Low
CUST00007,Jhanvi,Chaudhary,2004-05-16,Male,Mumbai,Maharashtra,2024-03-06,Low
CUST00008,Rati,Mahajan,1984-03-13,Male,Kolkata,West Bengal,2020-07-10,Medium
CUST00009,Alia,Raja,1974-07-31,Male,Lucknow,Uttar Pradesh,2025-07-14,Low
CUST00010,Aarush,Sibal,1966-07-07,Female,Bengaluru,Karnataka,2024-08-03,Medium
CUST00011,Aarna,Garde,1974-07-23,Female,Nashik,Maharashtra,2019-12-22,Low
CUST00012,Madhav,Singh,1978-07-22,Male,Kolkata,West Bengal,2019-07-09,High
CUST00013,Divij,Gupta,1962-03-25,Male,Ahmedabad,Gujarat,2021-09-14,Medium
CUST00014,Shray,Ramakrishnan,1973-08-25,Male,Nagpur,Maharashtra,2025-07-07,Low
CUST00015,Azad,Sethi,1986-11-30,Female,Kochi,Kerala,2023-03-19,Low
CUST00016,Gatik,Gulati,1961-01-04,Female,Madurai,Tamil Nadu,2023-05-07,Low
CUST00017,Ritvik,Thakkar,1998-06-05,Male,Mumbai,Maharashtra,2023-11-29,Low
CUST00018,Taran,Mani,1968-09-25,Male,Kolkata,West Bengal,2024-08-23,Low
CUST00019,Darshit,Bajaj,2000-08-24,Male,Coimbatore,Tamil Nadu,2020-08-03,Low
CUST00020,Trisha,Dhillon,1961-01-29,Female,Hyderabad,Telangana,2020-08-18,Low
CUST00021,Divyansh,Gupta,1974-07-26,Male,Chennai,Tamil Nadu,2022-07-04,Low
CUST00022,Myra,Tiwari,1980-06-22,Female,New Delhi,Delhi,2020-01-13,Low
CUST00023,Tushar,Goel,1969-11-27,Female,Chennai,Tamil Nadu,2024-05-08,Low
CUST00024,Priyansh,Sarna,2002-03-01,Female,Pune,Maharashtra,2024-02-29,Low
CUST00025,Devansh,Ramanathan,1998-11-10,Female,Mangaluru,Karnataka,2020-02-08,Low
CUST00026,Hazel,Sethi,1972-04-22,Male,Jaipur,Rajasthan,2020-01-15,Medium
CUST00027,Anahi,Gupta,1974-01-07,Female,Kozhikode,Kerala,2024-02-04,Low
CUST00028,Prisha,Mallick,1970-08-05,Male,Warangal,Telangana,2024-06-22,Low
CUST00029,Shaan,Upadhyay,2007-12-07,Female,Pune,Maharashtra,2025-04-01,Low
CUST00030,Bhavin,Contractor,1957-10-31,Female,Lucknow,Uttar Pradesh,2025-07-01,Low
CUST00031,Saksham,Iyer,1973-11-13,Male,New Delhi,Delhi,2019-03-19,Low
CUST00032,Lakshit,Mander,2004-07-02,Male,Vadodara,Gujarat,2021-04-29,Low
CUST00033,Lakshit,Sagar,1989-08-15,Female,New Delhi,Delhi,2022-01-06,Low
CUST00034,Nayantara,Karnik,1965-05-16,Female,Mumbai,Maharashtra,2020-11-25,Medium
CUST00035,Hiran,Dasgupta,2006-05-06,Male,Mangaluru,Karnataka,2023-06-05,High
CUST00036,Heer,Deep,2006-06-26,Male,Bengaluru,Karnataka,2023-08-16,Medium
CUST00037,Aaryahi,Yadav,1995-05-11,Female,Udaipur,Rajasthan,2022-01-17,Low
CUST00038,Taran,Choudhary,1965-01-23,Female,Vadodara,Gujarat,2022-12-26,Low
CUST00039,Bhamini,Bath,2007-01-30,Female,Pune,Maharashtra,2019-01-19,Low
CUST00040,Faiyaz,Bose,1998-05-07,Female,Nagpur,Maharashtra,2020-01-05,Low
CUST00041,Vritika,Sangha,1984-05-17,Male,Jaipur,Rajasthan,2023-09-21,Low
CUST00042,Chirag,Hans,1981-08-14,Male,Udaipur,Rajasthan,2023-09-20,Low
CUST00043,Anahita,Lalla,1972-10-03,Female,Noida,Uttar Pradesh,2023-05-10,Low
CUST00044,Aayush,Sangha,2004-09-10,Male,Kozhikode,Kerala,2019-08-16,Medium
CUST00045,Pihu,Wali,1992-03-10,Female,Hyderabad,Telangana,2025-01-13,Low
CUST00046,Priyansh,Sodhi,1999-04-08,Male,Nashik,Maharashtra,2021-07-17,Low
CUST00047,Faiyaz,Din,1985-03-27,Male,Kolkata,West Bengal,2019-12-30,Low
CUST00048,Amani,Agarwal,2004-10-14,Female,Chennai,Tamil Nadu,2024-10-08,Low
CUST00049,Prerak,Krishna,2007-07-02,Male,Madurai,Tamil Nadu,2020-03-03,Low
CUST00050,Dishani,Bera,1998-03-14,Male,Coimbatore,Tamil Nadu,2021-03-10,Low
CUST00051,Navya,Kulkarni,1997-02-02,Female,Udaipur,Rajasthan,2020-05-04,High
CUST00052,Indrans,Grover,2007-07-16,Male,New Delhi,Delhi,2020-01-09,Medium
CUST00053,Hrishita,Sood,1991-09-28,Female,Mumbai,Maharashtra,2018-08-27,Medium
CUST00054,Kismat,Edwin,1988-11-24,Female,Surat,Gujarat,2018-10-25,Medium
CUST00055,Faiyaz,Golla,1976-07-29,Male,Kozhikode,Kerala,2020-09-07,Low
CUST00056,Bhavin,Dara,1994-04-04,Male,Kolkata,West Bengal,2019-04-27,Medium
CUST00057,Dharmajan,Setty,1988-09-20,Female,Hubballi,Karnataka,2025-08-04,Low
CUST00058,Darshit,Sidhu,1991-11-25,Male,New Delhi,Delhi,2025-03-01,Low
CUST00059,Gokul,Bhatt,2000-07-18,Female,Mumbai,Maharashtra,2022-09-10,Low
CUST00060,Ira,Butala,1973-09-08,Male,Jaipur,Rajasthan,2023-02-20,Low
CUST00061,Mahika,Kakar,1970-01-23,Male,Mysuru,Karnataka,2023-03-28,Low
CUST00062,Tanya,Sethi,2002-08-05,Male,Kolkata,West Bengal,2020-05-11,Low
CUST00063,Riya,Dugal,1982-10-20,Female,Chennai,Tamil Nadu,2024-05-12,Medium
CUST00064,Nehmat,Grover,1985-06-18,Male,Udaipur,Rajasthan,2023-01-20,Low
CUST00065,Alisha,Bhasin,1972-07-08,Male,New Delhi,Delhi,2020-07-24,Low
CUST00066,Chirag,Gara,1957-01-29,Female,New Delhi,Delhi,2023-08-27,Low
CUST00067,Ishita,Contractor,1995-09-10,Male,Kanpur,Uttar Pradesh,2020-07-10,Low
CUST00068,Aarush,Banik,2003-10-26,Male,Jaipur,Rajasthan,2024-01-07,Medium
CUST00069,Biju,Contractor,1960-03-27,Male,Hyderabad,Telangana,2018-12-01,Low
CUST00070,Shalv,Banik,1990-08-21,Female,Nashik,Maharashtra,2020-09-03,High
CUST00071,Ranbir,Sami,1988-09-06,Female,Thiruvananthapuram,Kerala,2020-06-21,Medium
CUST00072,Hrishita,Bhatti,2004-11-15,Male,Udaipur,Rajasthan,2023-07-05,Low
CUST00073,Kashvi,Khalsa,1972-03-08,Male,New Delhi,Delhi,2025-04-28,Low
CUST00074,Anika,Swamy,1983-05-08,Female,Kanpur,Uttar Pradesh,2020-04-08,Medium
CUST00075,Divit,Bava,2000-06-29,Male,Kolkata,West Bengal,2022-04-26,Medium
CUST00076,Sumer,Kakar,1983-08-17,Female,Hyderabad,Telangana,2022-08-15,Medium
CUST00077,Samiha,Bala,2001-06-21,Male,Hubballi,Karnataka,2024-03-17,Medium
CUST00078,Neelofar,Bawa,1959-10-10,Male,Warangal,Telangana,2022-01-27,Low
CUST00079,Samiha,Gara,1963-01-31,Male,New Delhi,Delhi,2020-10-06,Low
CUST00080,Kartik,Chandran,1992-02-22,Female,Kochi,Kerala,2022-06-19,Low
CUST00081,Hiran,Kakar,1968-02-19,Male,Jaipur,Rajasthan,2021-01-07,Medium
CUST00082,Anahi,Dash,1960-10-11,Female,Kolkata,West Bengal,2022-06-02,Low
CUST00083,Zara,Venkataraman,1993-02-05,Male,Kochi,Kerala,2019-06-26,Low
CUST00084,Badal,Sachdev,1992-06-08,Male,Warangal,Telangana,2018-10-10,Low
CUST00085,Divij,Shetty,1971-09-26,Female,Kolkata,West Bengal,2020-01-24,Low
CUST00086,Yuvraj ,Kibe,1988-05-28,Male,Jaipur,Rajasthan,2020-06-20,Low
CUST00087,Yakshit,Zacharia,1959-08-22,Female,Mumbai,Maharashtra,2020-01-19,Medium
CUST00088,Vaibhav,Agarwal,1982-03-20,Female,Chennai,Tamil Nadu,2020-11-26,Low
CUST00089,Vardaniya,Srinivasan,1986-08-12,Female,Thiruvananthapuram,Kerala,2021-01-28,Medium
CUST00090,Aarna,Sarin,2005-05-11,Female,New Delhi,Delhi,2025-04-24,Low
CUST00091,Ivana,Sahota,2004-07-15,Female,Kochi,Kerala,2022-10-16,Low
CUST00092,Indrans,Chandran,1975-11-03,Male,Hyderabad,Telangana,2020-07-02,Medium
CUST00093,Bhavin,Mann,2005-09-18,Male,Chennai,Tamil Nadu,2023-04-06,Medium
